scenario_id,object_id,min_ttc
scenario_d3b832b4-14f2-48eb-a3e3-aabbee95af3b,34364,0.008
scenario_668bc8f1-97d7-44e9-87d4-b5c8dc91baf5,7190,0.014
scenario_d0554ae1-0e5d-46bf-9464-213d409075c6,3937,0.017
scenario_6ada47a1-412e-481d-bcb8-f9b85ad0cb91,15398,0.02
scenario_09a2211b-fc55-4c57-9991-4d8b3faa1709,74468,0.021
scenario_d37b5317-4ef2-448d-bb36-712f462823a8,123672,0.024
scenario_32318de4-8f14-4619-9fa1-ae29cca8759b,147238,0.026
scenario_f9da63c9-8072-4011-bdf7-3b137d488d74,49204,0.026
scenario_7d748ce1-dcee-44d9-bbbe-b657029a2f7a,150147,0.029
scenario_c3eef186-01a1-4832-ac71-e1f0e46b0085,71314,0.03
scenario_285bf5cd-7eba-479d-a144-ff4a8b981c46,13778,0.031
scenario_bfda5830-1c66-4e8e-8cbd-5f889728fd3e,96184,0.031
scenario_3233ab52-4656-45b2-b540-3acd81d0942d,94875,0.033
scenario_c872c5df-c1f1-4ad3-87c0-343469e96746,85231,0.034
scenario_efd8ee80-f8cc-4270-a889-17f44ca82af9,88205,0.035
scenario_fbe4c0d1-759f-43a6-b26c-7c9fc90fd6e0,88205,0.035
scenario_9cb331e4-7d4e-4f2f-8604-1012f9b43672,30183,0.036
scenario_f6e7abdb-f641-4f90-83d6-dc6b171fd2cb,14408,0.037
scenario_aea37aa7-931b-4e64-825d-9e8d87ffe338,4790,0.037
scenario_16d3270a-324d-4e32-b9c4-ad6b58c56557,43687,0.039
scenario_d73e09fd-b9fb-4a14-81cb-a6cb242f3e7c,21704,0.04
scenario_51368851-b700-449c-8a85-e22be5776616,1376,0.04
scenario_db262a7c-b639-41a3-9f57-f7d3ba123147,18552,0.042
scenario_fabd7f0d-2a4b-4d1a-b615-7e51e84374a3,45080,0.043
scenario_e2f465d3-774f-4b56-854a-f67d8f58c70e,33767,0.045
scenario_993a2993-1b3b-467f-b1f7-097ddb644478,5141,0.046
scenario_12e67008-6711-4126-9423-d2967eca4ef1,27625,0.047
